ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
272229,0.112,0.000,0.112,0.000,{method 'strip' of 'str' objects}
1048,0.008,0.000,0.008,0.000,{method 'translate' of 'str' objects}
129,0.000,0.000,0.000,0.000,{method 'upper' of 'str' objects}
222814,0.148,0.000,0.148,0.000,{method 'startswith' of 'str' objects}
10581,0.011,0.000,0.011,0.000,{method 'endswith' of 'str' objects}
1326,0.001,0.000,0.001,0.000,{method 'isupper' of 'str' objects}
1373,0.001,0.000,0.001,0.000,{method 'isidentifier' of 'str' objects}
1158,0.001,0.000,0.001,0.000,{method 'zfill' of 'str' objects}
8837,0.038,0.000,0.040,0.000,{method 'format' of 'str' objects}
2,0.000,0.000,0.000,0.000,{built-in method maketrans}
31,0.000,0.000,0.000,0.000,{method 'mro' of 'type' objects}
472,0.001,0.000,0.002,0.000,{method '__reduce_ex__' of 'object' objects}
52,0.000,0.000,0.000,0.000,{method '__init_subclass__' of 'object' objects}
32711/32710,0.040,0.000,0.041,0.000,{built-in method __new__ of type object at 0x559029925300}
15,0.000,0.000,0.000,0.000,{method 'index' of 'tuple' objects}
2,0.000,0.000,0.000,0.000,{method 'indices' of 'slice' objects}
337,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
16,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
3,0.000,0.000,0.000,0.000,{method 'difference' of 'set' objects}
33,0.000,0.000,0.000,0.000,{method 'remove' of 'set' objects}
2,0.000,0.000,0.000,0.000,{method 'union' of 'set' objects}
6,0.000,0.000,0.000,0.000,{method 'update' of 'set' objects}
403,0.000,0.000,0.000,0.000,{method '__contains__' of 'frozenset' objects}
15,0.000,0.000,0.000,0.000,{method 'tolist' of 'memoryview' objects}
15,0.000,0.000,0.000,0.000,{method 'cast' of 'memoryview' objects}
1,0.000,0.000,0.000,0.000,{function _typedict.__getitem__ at 0x7f45a1ced700}
72361,0.039,0.000,0.039,0.000,{method 'get' of 'dict' objects}
887,0.001,0.000,0.001,0.000,{method 'setdefault' of 'dict' objects}
31219,0.018,0.000,0.018,0.000,{method 'pop' of 'dict' objects}
3,0.000,0.000,0.000,0.000,{method 'popitem' of 'dict' objects}
4200047,0.877,0.000,0.877,0.000,{method 'keys' of 'dict' objects}
800664,0.251,0.000,0.251,0.000,{method 'items' of 'dict' objects}
35,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
1766,0.004,0.000,0.004,0.000,{method 'update' of 'dict' objects}
625,0.005,0.000,0.005,0.000,{built-in method fromkeys}
50,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
250050,0.155,0.000,0.155,0.000,{method 'copy' of 'dict' objects}
8,0.000,0.000,0.000,0.000,{method 'bit_length' of 'int' objects}
2899,0.002,0.000,0.002,0.000,{built-in method from_bytes}
2,0.000,0.000,0.000,0.000,{function FrozenList.__getitem__ at 0x7f458ac165e0}
2,0.000,0.000,0.000,0.000,{method 'copy' of 'list' objects}
1331696,0.476,0.000,0.476,0.000,{method 'append' of 'list' objects}
60,0.000,0.000,0.000,0.000,{method 'insert' of 'list' objects}
1435,0.003,0.000,0.004,0.000,{method 'extend' of 'list' objects}
148292,0.068,0.000,0.068,0.000,{method 'pop' of 'list' objects}
22,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
4,0.000,0.000,0.000,0.000,{method 'count' of 'list' objects}
981,0.001,0.000,0.001,0.000,{method 'reverse' of 'list' objects}
37,0.000,0.000,0.000,0.000,{method 'sort' of 'list' objects}
34,0.000,0.000,0.000,0.000,{method 'decode' of 'bytes' objects}
2,0.000,0.000,0.000,0.000,{method 'join' of 'bytes' objects}
5,0.000,0.000,0.000,0.000,{method 'startswith' of 'bytes' objects}
1,0.000,0.000,0.000,0.000,<expr>:1(<module>)
6,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:401(__init__)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:393(ExpressionNode)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:482(LeafNode)
4,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:489(__init__)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:486(VariableNode)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:493(RawNode)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:512(ConstantNode)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:532(__init__)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:529(OpNode)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:105(allConstantNodes)
6,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:113(isConstant)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:183(operation)
19,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:178(binop)
29,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:195(func)
4,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:240(gen_reduce_axis_func)
